aX,aY,aZ,gX,gY,gZ
0.036,-0.486,0.871,10.376,32.532,-62.012
0.029,-0.470,0.866,8.667,33.569,-60.608
0.030,-0.456,0.873,7.996,32.288,-60.303

-0.814,-0.207,1.022,0.793,15.686,-45.410
-0.816,-0.242,1.017,2.441,22.705,-47.852
-0.797,-0.261,1.003,4.639,28.381,-49.500
-0.768,-0.276,0.993,5.737,32.898,-51.208
-0.760,-0.291,0.998,4.944,37.354,-53.406
-0.754,-0.295,1.006,3.174,41.931,-57.922
-0.721,-0.295,0.980,-0.305,46.143,-64.392
-0.691,-0.294,0.951,-5.981,46.021,-71.533
-0.656,-0.314,0.930,-10.864,42.419,-79.041
-0.610,-0.333,0.914,-12.573,38.696,-84.656
-0.556,-0.354,0.915,-11.353,37.109,-88.989
-0.521,-0.385,0.942,-8.118,38.879,-91.919
-0.489,-0.415,0.968,-4.211,45.471,-93.628
-0.443,-0.435,0.953,-0.610,54.138,-94.238
-0.410,-0.444,0.917,0.732,60.852,-93.140
-0.393,-0.441,0.872,-0.610,64.575,-91.309
-0.361,-0.416,0.827,-2.747,66.528,-91.003
-0.343,-0.403,0.808,-2.258,67.627,-93.323
-0.317,-0.387,0.774,1.160,69.214,-95.459
-0.297,-0.391,0.756,4.883,68.237,-97.778
-0.295,-0.397,0.773,8.057,62.317,-101.807
-0.281,-0.406,0.799,11.902,56.091,-106.628
-0.264,-0.446,0.815,14.465,53.223,-111.267
-0.241,-0.481,0.814,14.465,52.490,-114.258
-0.218,-0.501,0.817,14.160,52.307,-116.150
-0.192,-0.514,0.798,12.634,53.284,-117.493
-0.142,-0.516,0.764,10.010,54.749,-118.530
-0.102,-0.532,0.745,7.202,54.260,-119.873
-0.062,-0.551,0.753,5.859,51.941,-121.765
-0.003,-0.584,0.771,7.690,51.208,-124.451
0.045,-0.638,0.792,11.719,52.063,-126.221
0.094,-0.704,0.805,16.174,53.955,-125.793
0.136,-0.778,0.797,18.616,56.641,-123.718
0.196,-0.829,0.769,17.212,58.533,-120.911
0.256,-0.850,0.710,14.221,59.448,-118.286
0.325,-0.858,0.641,8.484,58.960,-114.502
0.365,-0.854,0.589,3.784,56.030,-108.521
0.374,-0.849,0.582,6.226,51.636,-101.318
0.381,-0.813,0.614,13.916,48.096,-92.590
0.388,-0.765,0.658,21.362,47.180,-82.886
0.364,-0.726,0.717,26.184,46.448,-74.524
0.350,-0.685,0.771,29.602,45.410,-68.604
0.367,-0.628,0.805,31.982,45.532,-64.636
0.420,-0.576,0.821,31.006,45.654,-62.134
0.445,-0.549,0.838,25.391,42.908,-62.561
0.477,-0.548,0.839,16.724,38.269,-65.247
0.505,-0.586,0.834,8.118,33.508,-67.749
0.515,-0.629,0.840,3.784,28.809,-68.787
0.543,-0.665,0.847,2.258,25.452,-67.749
0.575,-0.698,0.850,2.258,22.949,-64.941
0.598,-0.726,0.855,2.625,20.386,-59.631
0.629,-0.730,0.853,3.540,17.639,-53.040
0.660,-0.725,0.841,4.578,15.991,-46.021
0.674,-0.712,0.827,3.662,14.343,-38.818
0.666,-0.681,0.818,2.319,11.780,-31.311
0.666,-0.666,0.808,1.221,9.277,-25.391
0.650,-0.671,0.803,1.709,7.080,-21.912
0.639,-0.688,0.801,2.686,4.089,-18.860
0.616,-0.706,0.818,2.625,1.099,-14.099
0.600,-0.710,0.822,-0.610,-0.793,-7.874
0.589,-0.711,0.810,-5.737,-2.136,-0.366
0.573,-0.701,0.784,-10.315,-3.113,8.362
0.540,-0.678,0.752,-13.855,-3.296,17.639
0.501,-0.644,0.722,-15.869,-2.075,26.367
0.469,-0.606,0.695,-15.320,-1.282,34.119
0.424,-0.561,0.678,-14.587,-2.869,40.833
0.379,-0.526,0.674,-13.672,-4.272,45.044
0.360,-0.488,0.660,-11.169,-5.981,47.424
0.343,-0.469,0.664,-6.714,-11.353,47.974
0.308,-0.468,0.702,-3.418,-18.311,47.668
0.289,-0.475,0.765,0.061,-23.560,48.096
0.289,-0.489,0.854,3.662,-25.513,49.377
0.276,-0.494,0.932,5.188,-26.184,51.819
0.292,-0.499,0.972,4.150,-25.879,54.199
0.298,-0.515,0.986,0.183,-25.085,55.542
0.302,-0.530,0.983,-5.310,-23.743,56.274
0.337,-0.547,0.952,-9.705,-21.179,57.068
0.376,-0.565,0.899,-12.817,-21.790,57.983
0.397,-0.578,0.852,-15.381,-26.062,60.181
0.403,-0.583,0.818,-15.686,-30.823,64.331
0.407,-0.599,0.787,-13.855,-33.997,68.665
0.394,-0.607,0.775,-11.169,-36.987,73.730
0.357,-0.601,0.783,-8.850,-40.405,79.346
0.322,-0.591,0.814,-6.226,-42.114,83.435
0.283,-0.595,0.842,-4.761,-43.396,85.205
0.243,-0.609,0.864,-6.653,-44.739,84.900
0.207,-0.636,0.864,-10.864,-45.593,83.801
0.188,-0.655,0.845,-18.066,-46.448,82.947
0.174,-0.668,0.830,-24.048,-48.462,83.191
0.138,-0.687,0.828,-26.733,-51.758,85.083
0.099,-0.685,0.825,-26.794,-51.880,89.050
