aX,aY,aZ,gX,gY,gZ
0.050,1.023,0.525,10.437,-6.042,-24.963
0.077,0.958,0.539,9.583,-12.695,-9.338
0.106,0.930,0.553,6.531,-13.672,4.211
0.134,0.903,0.571,0.610,-11.414,9.399
0.159,0.868,0.618,-8.118,-8.667,6.836
0.192,0.814,0.693,-17.883,-2.075,1.587
0.252,0.727,0.763,-22.461,8.301,-1.831
0.319,0.651,0.797,-20.264,16.541,-1.953
0.373,0.583,0.799,-14.465,16.479,-0.549
0.425,0.514,0.789,-8.850,10.742,4.089
0.459,0.473,0.787,-4.028,3.418,10.559
0.498,0.454,0.778,0.122,-0.366,14.954
0.519,0.430,0.774,1.648,0.244,16.724
0.532,0.407,0.767,1.892,3.906,15.381
0.531,0.409,0.764,1.709,8.057,11.230
0.505,0.415,0.763,1.343,11.047,4.761
0.477,0.402,0.762,1.404,13.489,-1.587
0.465,0.385,0.759,2.747,15.076,-4.395
0.446,0.377,0.756,4.028,15.015,-4.517
0.433,0.372,0.757,4.089,12.756,-4.456
0.442,0.365,0.757,2.930,10.681,-2.319
0.452,0.368,0.762,1.038,7.263,1.099
0.443,0.389,0.773,-2.136,2.258,3.784
0.439,0.405,0.788,-5.554,-1.709,5.493
0.428,0.420,0.812,-8.240,-4.272,6.226
0.423,0.432,0.840,-9.094,-6.653,4.883
0.424,0.417,0.847,-8.545,-7.690,3.296
0.407,0.413,0.838,-6.042,-8.667,2.563
0.382,0.431,0.818,-3.784,-10.010,1.282
0.356,0.443,0.811,-3.296,-10.254,0.366
0.326,0.440,0.814,-4.028,-8.484,-0.244
0.303,0.449,0.815,-3.601,-5.920,-0.916
0.297,0.464,0.811,-3.235,-3.418,-1.038
0.305,0.462,0.823,-3.784,-1.770,-0.427
0.310,0.462,0.844,-4.272,-1.465,0.366
0.312,0.473,0.861,-3.479,-1.587,-0.305
0.326,0.468,0.868,-2.319,-1.282,-0.732
0.324,0.466,0.869,-0.671,-1.160,-0.305
0.315,0.462,0.866,1.282,-1.770,0.061
0.302,0.456,0.860,2.686,-2.869,0.244
0.305,0.453,0.850,3.479,-3.113,0.977
0.303,0.449,0.838,3.235,-2.563,1.892
0.292,0.442,0.830,1.892,-1.892,2.441
0.297,0.447,0.815,0.488,-1.343,2.686
0.312,0.454,0.815,-1.831,-0.671,3.235
0.319,0.448,0.825,-4.517,-1.099,2.441
0.314,0.460,0.834,-5.737,-2.563,1.282
0.306,0.473,0.832,-5.493,-3.479,0.488
0.298,0.484,0.834,-5.066,-3.235,-0.183
0.294,0.499,0.836,-3.784,-1.709,-0.977
0.297,0.510,0.836,-1.892,0.916,-1.709
0.299,0.516,0.834,0.305,3.418,-2.136
0.303,0.511,0.828,2.686,4.822,-2.563
0.306,0.509,0.826,3.540,4.822,-2.319
0.294,0.506,0.829,3.601,3.784,-2.258
0.283,0.503,0.832,4.150,2.930,-2.197
0.273,0.494,0.831,4.761,2.747,-1.770
0.267,0.483,0.823,5.066,3.235,-1.099
0.259,0.478,0.820,4.944,3.357,-0.183
0.258,0.471,0.820,4.089,3.479,1.160
0.262,0.472,0.830,2.991,4.150,2.991
0.262,0.462,0.837,1.953,4.089,3.418
0.273,0.459,0.834,2.319,2.747,4.150
0.284,0.447,0.827,2.380,1.221,6.470
0.287,0.432,0.819,2.136,0.305,7.935
0.290,0.435,0.814,2.075,-0.427,8.545
0.286,0.439,0.810,2.380,0.549,8.545
0.289,0.438,0.804,2.991,3.357,7.935
0.294,0.447,0.798,3.906,7.629,6.042
0.292,0.462,0.802,4.517,11.780,2.686
0.286,0.464,0.803,5.371,16.113,-1.038
0.283,0.457,0.796,6.531,20.264,-4.211
0.264,0.461,0.794,8.362,22.278,-7.202
0.251,0.467,0.794,11.047,23.071,-7.996
0.248,0.470,0.790,13.245,22.949,-5.859
0.243,0.467,0.794,15.320,21.179,-1.831
0.250,0.470,0.790,17.883,18.555,3.479
0.270,0.480,0.780,19.714,15.503,9.460
0.290,0.484,0.771,19.531,12.512,14.099
0.296,0.489,0.777,18.860,9.827,16.479
0.314,0.495,0.780,18.738,8.667,16.357
0.323,0.485,0.773,17.456,8.972,14.160
0.309,0.465,0.785,16.785,10.132,10.864
0.315,0.447,0.771,17.334,12.817,8.484
0.316,0.435,0.766,16.968,15.015,7.751
0.315,0.428,0.763,16.907,15.137,7.141
0.311,0.437,0.774,17.700,14.343,7.385
0.301,0.436,0.786,19.470,13.855,8.545
0.297,0.430,0.792,21.545,14.587,9.644
0.301,0.431,0.785,25.024,15.686,11.536
0.307,0.418,0.776,27.588,17.151,13.611
0.320,0.393,0.767,27.832,18.616,15.442
0.331,0.377,0.765,26.123,19.348,16.663
0.342,0.380,0.778,25.757,18.921,17.700
0.362,0.382,0.799,26.611,19.287,18.616
0.381,0.365,0.786,25.146,21.057,18.921
0.383,0.332,0.784,20.935,21.790,18.005
0.377,0.303,0.803,17.944,21.667,16.846
0.400,0.293,0.819,17.395,22.522,17.883
0.409,0.288,0.847,17.090,23.132,18.616
0.430,0.269,0.856,15.015,22.644,18.005
0.450,0.264,0.868,14.221,21.973,17.273
0.466,0.267,0.871,13.611,21.912,17.090
0.467,0.264,0.884,13.672,21.790,16.968
0.474,0.262,0.888,14.771,20.630,17.334
0.474,0.256,0.889,15.625,19.287,17.944
0.469,0.251,0.893,16.724,18.127,18.860
0.473,0.250,0.883,18.494,17.517,17.944
0.450,0.238,0.879,19.775,16.968,14.526
0.428,0.238,0.873,23.254,16.479,10.376
0.402,0.240,0.871,28.137,18.311,7.080
0.394,0.230,0.858,32.227,22.461,4.395
0.417,0.228,0.841,34.912,27.344,2.625
0.432,0.224,0.831,36.987,30.090,1.953

0.465,-0.758,1.230,-37.964,-26.855,-7.507
0.418,-0.798,1.204,-37.659,-22.827,-11.536
0.333,-0.909,1.184,-42.358,-18.677,-12.085
0.264,-0.982,1.239,-51.086,-15.564,-11.658
0.211,-1.024,1.304,-60.852,-14.893,-8.118
0.173,-1.078,1.337,-71.960,-16.052,-0.854
0.222,-1.103,1.332,-81.177,-18.860,6.653
0.321,-1.065,1.219,-80.200,-23.315,15.869
0.438,-0.950,1.013,-74.036,-25.330,24.902
0.528,-0.727,0.808,-65.857,-19.348,26.978
0.721,-0.483,0.622,-59.204,-3.662,20.386
0.872,-0.212,0.449,-59.631,13.916,7.080
0.910,0.117,0.293,-61.401,22.278,-11.963
0.919,0.469,0.150,-65.552,27.893,-27.893
0.752,0.827,0.051,-71.960,21.057,-43.335
0.516,1.173,-0.005,-79.651,5.432,-57.861
0.404,1.524,-0.052,-81.848,-0.244,-57.434
0.275,1.814,-0.052,-79.773,5.310,-47.241
0.196,2.004,-0.025,-77.087,12.695,-34.851
0.174,2.113,0.023,-75.012,11.658,-20.264
0.185,2.131,0.105,-76.660,3.967,-4.333
0.283,2.117,0.230,-80.811,-5.249,10.254
0.318,2.113,0.368,-79.224,-17.822,18.066
0.287,2.034,0.459,-68.665,-29.236,11.780
0.249,1.887,0.527,-52.979,-33.752,0.427
0.240,1.730,0.591,-33.813,-33.630,-7.385
0.203,1.433,0.575,-10.559,-38.208,-16.907
0.244,1.242,0.527,4.517,-31.311,-14.709
0.205,1.092,0.452,14.160,-34.485,-5.005
0.142,0.984,0.398,14.893,-53.406,-3.723
0.106,0.881,0.361,11.658,-55.298,2.136
0.078,0.799,0.337,5.493,-45.776,4.028
0.078,0.715,0.396,-6.531,-36.377,1.465
0.109,0.640,0.497,-19.348,-19.775,-0.610
0.182,0.585,0.610,-27.100,-5.432,-3.235
0.242,0.534,0.738,-30.823,2.258,-6.409
0.291,0.468,0.826,-28.870,8.301,-7.019
0.354,0.401,0.856,-21.545,11.536,-4.395
0.379,0.374,0.845,-12.024,10.498,-1.160
0.399,0.369,0.825,-5.432,9.399,0.793
0.416,0.356,0.819,-3.479,10.620,1.282
0.441,0.338,0.828,-3.723,14.038,-0.366
0.458,0.331,0.820,-2.808,16.602,-2.747
0.476,0.317,0.811,-0.549,16.357,-4.883
0.541,0.286,0.802,1.404,14.587,-3.845
0.594,0.263,0.782,3.235,9.644,-0.488
0.589,0.268,0.751,3.540,0.427,1.526
0.567,0.292,0.724,2.380,-7.874,1.831
0.552,0.335,0.705,-0.061,-11.047,0.671
0.513,0.391,0.699,-3.174,-10.376,-2.930
0.465,0.446,0.694,-6.958,-7.507,-7.385
0.424,0.467,0.706,-11.475,-3.784,-10.437
0.396,0.474,0.724,-14.404,-2.808,-10.986
0.392,0.493,0.736,-14.465,-5.005,-8.240
0.409,0.495,0.742,-14.587,-9.155,-3.723
0.405,0.494,0.754,-15.747,-14.832,-0.488
0.380,0.502,0.760,-16.174,-19.592,0.061
0.350,0.518,0.754,-14.954,-20.996,-0.671
0.315,0.523,0.755,-13.672,-19.104,-1.892
0.281,0.524,0.762,-12.085,-15.808,-3.296
0.250,0.543,0.770,-10.010,-12.634,-4.578
0.223,0.544,0.780,-8.728,-10.132,-6.104
0.203,0.544,0.786,-7.202,-7.812,-6.592
0.204,0.542,0.788,-5.432,-4.761,-4.639
0.222,0.521,0.802,-4.761,-2.441,-1.160
0.234,0.508,0.817,-3.967,-2.747,2.502
0.240,0.504,0.820,-2.747,-3.906,6.104
0.241,0.488,0.820,-2.075,-4.456,8.606
0.243,0.472,0.817,-1.709,-5.005,9.827
0.255,0.464,0.816,-1.831,-4.639,10.986
0.274,0.441,0.822,-2.625,-3.662,12.146
0.303,0.426,0.829,-3.174,-4.150,12.756
0.331,0.426,0.833,-3.174,-5.249,13.000
0.342,0.436,0.829,-2.991,-5.493,12.268
0.343,0.441,0.826,-3.357,-4.456,9.888
0.337,0.456,0.827,-3.418,-2.991,7.507
0.332,0.474,0.822,-2.747,-1.160,5.310
0.318,0.488,0.821,-2.136,0.549,2.747
