aX,aY,aZ,gX,gY,gZ
0.058,-0.437,0.285,-73.242,-46.570,28.259
0.031,-0.406,0.271,-69.763,-50.964,29.053
0.003,-0.383,0.273,-65.186,-56.519,28.809

-1.045,-0.576,0.477,42.358,-39.978,-0.061
-1.069,-0.587,0.495,46.082,-35.339,0.122
-1.115,-0.602,0.511,49.622,-31.250,1.160
-1.164,-0.623,0.523,53.406,-26.794,2.197
-1.136,-0.592,0.550,57.251,-19.226,2.136
-1.140,-0.565,0.569,58.228,-9.399,-1.831
-1.131,-0.544,0.562,56.335,-1.465,-5.859
-1.129,-0.533,0.551,57.190,5.066,-11.047
-1.110,-0.530,0.538,61.035,11.536,-16.174
-1.122,-0.551,0.539,66.101,16.724,-19.531
-1.159,-0.593,0.542,71.899,20.020,-20.081
-1.205,-0.626,0.558,80.627,22.339,-17.273
-1.239,-0.663,0.576,90.576,27.527,-13.123
-1.262,-0.702,0.591,97.839,35.339,-9.827
-1.296,-0.738,0.602,101.074,43.213,-9.155
-1.301,-0.770,0.599,100.769,52.490,-11.414
-1.302,-0.800,0.575,96.680,63.416,-15.930
-1.300,-0.833,0.546,91.919,73.425,-22.522
-1.253,-0.882,0.522,87.463,83.618,-30.579
-1.247,-0.946,0.498,83.557,92.468,-39.612
-1.208,-1.021,0.450,79.163,98.389,-47.119
-1.207,-1.078,0.416,77.759,105.713,-53.101
-1.138,-1.115,0.381,76.843,112.671,-51.086
-1.086,-1.169,0.343,78.735,118.896,-47.974
-1.039,-1.214,0.320,81.299,121.338,-44.189
-1.022,-1.251,0.307,85.815,122.192,-38.269
-0.989,-1.284,0.293,92.468,124.939,-29.114
-0.939,-1.312,0.270,97.595,127.869,-18.616
-0.902,-1.324,0.249,99.854,129.272,-9.766
-0.880,-1.322,0.243,99.792,129.272,-2.747
-0.842,-1.322,0.244,97.900,130.005,2.747
-0.808,-1.330,0.266,93.628,131.042,6.348
-0.779,-1.340,0.280,86.548,131.714,7.019
-0.751,-1.354,0.278,75.806,134.521,4.456
-0.736,-1.369,0.250,62.744,138.733,-1.160
-0.709,-1.409,0.181,50.171,144.226,-7.812
-0.666,-1.460,0.084,36.011,150.269,-13.794
-0.568,-1.519,0.005,25.269,155.457,-19.897
-0.453,-1.567,-0.062,16.907,155.579,-23.926
-0.364,-1.592,-0.127,10.986,150.391,-21.973
-0.290,-1.597,-0.164,9.766,143.066,-10.681
-0.210,-1.583,-0.192,12.146,135.132,6.897
-0.186,-1.564,-0.183,13.306,126.892,26.550
-0.151,-1.552,-0.178,12.146,118.958,43.457
-0.141,-1.541,-0.163,6.653,111.084,54.382
-0.142,-1.518,-0.159,-1.404,103.821,60.120
-0.151,-1.487,-0.158,-10.681,99.060,63.354
-0.123,-1.433,-0.153,-19.714,98.206,64.453
-0.079,-1.377,-0.153,-29.053,98.816,62.012
-0.033,-1.320,-0.163,-39.246,98.816,57.251
0.025,-1.272,-0.181,-48.828,98.511,51.270
0.099,-1.243,-0.208,-56.824,97.290,45.654
0.159,-1.234,-0.237,-63.477,92.651,41.321
0.210,-1.231,-0.261,-68.237,84.839,41.138
0.244,-1.205,-0.270,-70.190,76.294,46.082
0.276,-1.159,-0.273,-69.458,68.909,55.176
0.291,-1.094,-0.285,-68.787,61.768,64.331
0.302,-1.034,-0.293,-70.557,53.772,70.313
0.294,-0.975,-0.281,-75.562,45.654,71.289
0.291,-0.928,-0.267,-81.726,37.964,68.665
0.297,-0.891,-0.239,-88.623,31.311,65.369
0.318,-0.868,-0.204,-94.482,24.841,62.378
0.332,-0.856,-0.164,-98.755,17.456,59.387
0.328,-0.841,-0.123,-102.356,9.827,58.594
0.332,-0.817,-0.092,-106.323,3.235,60.547
0.329,-0.776,-0.078,-110.657,-2.869,64.026
0.308,-0.722,-0.057,-114.502,-9.460,67.322
0.267,-0.655,-0.036,-117.249,-15.686,70.068
0.209,-0.580,-0.001,-116.150,-21.301,70.801
0.176,-0.516,0.032,-112.854,-25.391,69.031
0.158,-0.451,0.067,-108.521,-28.992,64.392
0.152,-0.407,0.087,-104.065,-32.837,58.044
0.144,-0.382,0.096,-101.074,-37.048,53.894
0.139,-0.360,0.097,-97.473,-41.443,52.734
0.121,-0.333,0.104,-93.018,-46.021,54.504
0.103,-0.301,0.107,-88.196,-50.232,58.411
0.082,-0.262,0.101,-85.144,-54.077,63.232
0.057,-0.223,0.095,-82.458,-59.143,66.833
0.030,-0.181,0.088,-79.163,-65.186,68.237
-0.002,-0.139,0.088,-76.172,-71.045,67.627
-0.078,-0.108,0.093,-71.838,-75.806,65.247
-0.104,-0.029,0.140,-63.477,-79.285,63.232
-0.128,0.010,0.180,-55.908,-80.566,59.631
-0.178,0.042,0.184,-50.354,-83.130,55.298
-0.222,0.060,0.189,-43.335,-87.524,50.720
-0.268,0.064,0.202,-34.119,-91.858,46.021
-0.312,0.039,0.220,-22.217,-96.130,42.603
-0.353,0.006,0.266,-10.315,-99.854,41.565
-0.385,-0.025,0.318,0.610,-102.600,42.725
-0.402,-0.040,0.356,7.568,-105.042,44.434
-0.437,-0.058,0.385,11.353,-108.582,44.189
-0.483,-0.059,0.416,12.878,-111.206,42.114
